"Time";"node_memory_Active_bytes{instance=""172.26.119.19:9100"",job=""node""}"
"2019-06-13T23:39:30+08:00";1207836672
"2019-06-13T23:39:45+08:00";1208864768
"2019-06-13T23:40:00+08:00";1209049088
"2019-06-13T23:40:15+08:00";1210789888
"2019-06-13T23:40:30+08:00";1210781696
"2019-06-13T23:40:45+08:00";1211011072
"2019-06-13T23:41:00+08:00";1211125760
"2019-06-13T23:41:15+08:00";1211281408
"2019-06-13T23:41:30+08:00";1212170240
"2019-06-13T23:41:45+08:00";1212280832
"2019-06-13T23:42:00+08:00";1208655872
"2019-06-13T23:42:15+08:00";1209262080
"2019-06-13T23:42:30+08:00";1209466880
"2019-06-13T23:42:45+08:00";1209597952
"2019-06-13T23:43:00+08:00";1209720832
"2019-06-13T23:43:15+08:00";1209860096
"2019-06-13T23:43:30+08:00";1209954304
"2019-06-13T23:43:45+08:00";1210191872
"2019-06-13T23:44:00+08:00";1210306560
"2019-06-13T23:44:15+08:00";1210478592
"2019-06-13T23:44:30+08:00";1210597376
"2019-06-13T23:44:45+08:00";1210765312
"2019-06-13T23:45:00+08:00";1210908672
"2019-06-13T23:45:15+08:00";1211047936
"2019-06-13T23:45:30+08:00";1211219968
"2019-06-13T23:45:45+08:00";1211318272
"2019-06-13T23:46:00+08:00";1211498496
"2019-06-13T23:46:15+08:00";1211801600
"2019-06-13T23:46:30+08:00";1211895808
"2019-06-13T23:46:45+08:00";1212264448
"2019-06-13T23:47:00+08:00";1212370944
"2019-06-13T23:47:15+08:00";1217970176
"2019-06-13T23:47:30+08:00";1218056192
"2019-06-13T23:47:45+08:00";1218121728
"2019-06-13T23:48:00+08:00";1218150400
"2019-06-13T23:48:15+08:00";1218207744
"2019-06-13T23:48:30+08:00";1218256896
"2019-06-13T23:48:45+08:00";1218334720
"2019-06-13T23:49:00+08:00";1218367488
"2019-06-13T23:49:15+08:00";1218408448
"2019-06-13T23:49:30+08:00";1218437120
"2019-06-13T23:49:45+08:00";1218523136
"2019-06-13T23:50:00+08:00";1218523136
"2019-06-13T23:50:15+08:00";1218600960
"2019-06-13T23:50:30+08:00";1218600960
"2019-06-13T23:50:45+08:00";1218650112
"2019-06-13T23:51:00+08:00";1218658304
"2019-06-13T23:51:15+08:00";1218764800
"2019-06-13T23:51:30+08:00";1218781184
"2019-06-13T23:51:45+08:00";1218834432
"2019-06-13T23:52:00+08:00";1218850816
"2019-06-13T23:52:15+08:00";1218031616
"2019-06-13T23:52:30+08:00";1218072576
"2019-06-13T23:52:45+08:00";1218199552
"2019-06-13T23:53:00+08:00";1218228224
"2019-06-13T23:53:15+08:00";1218260992
"2019-06-13T23:53:30+08:00";1218260992
"2019-06-13T23:53:45+08:00";1218306048
"2019-06-13T23:54:00+08:00";1218351104
"2019-06-13T23:54:15+08:00";1218715648
"2019-06-13T23:54:30+08:00";1218707456
"2019-06-13T23:54:45+08:00";1218789376
"2019-06-13T23:55:00+08:00";1218813952
"2019-06-13T23:55:15+08:00";1218883584
"2019-06-13T23:55:30+08:00";1218883584
"2019-06-13T23:55:45+08:00";1218949120
"2019-06-13T23:56:00+08:00";1219010560
"2019-06-13T23:56:15+08:00";1219022848
"2019-06-13T23:56:30+08:00";1219051520
"2019-06-13T23:56:45+08:00";1219084288
"2019-06-13T23:57:00+08:00";1219141632
"2019-06-13T23:57:15+08:00";1221885952
"2019-06-13T23:57:30+08:00";1221906432
"2019-06-13T23:57:45+08:00";1221980160
"2019-06-13T23:58:00+08:00";1222000640
"2019-06-13T23:58:15+08:00";1222066176
"2019-06-13T23:58:30+08:00";1222094848
"2019-06-13T23:58:45+08:00";1222148096
"2019-06-13T23:59:00+08:00";1222172672
"2019-06-13T23:59:15+08:00";1222193152
"2019-06-13T23:59:30+08:00";1222193152
"2019-06-13T23:59:45+08:00";1223077888
"2019-06-14T00:00:00+08:00";1223098368
"2019-06-14T00:00:15+08:00";1225121792
"2019-06-14T00:00:30+08:00";1224724480
