"Time";"node_cpu_frequency_hertz{cpu=""0"",instance=""172.26.119.19:9100"",job=""node""}";"node_cpu_frequency_hertz{cpu=""1"",instance=""172.26.119.19:9100"",job=""node""}";"node_cpu_frequency_hertz{cpu=""2"",instance=""172.26.119.19:9100"",job=""node""}";"node_cpu_frequency_hertz{cpu=""3"",instance=""172.26.119.19:9100"",job=""node""}"
"2019-06-13T15:45:30+08:00";null;null;null;null
"2019-06-13T15:45:45+08:00";null;null;null;null
"2019-06-13T15:46:00+08:00";null;null;null;null
"2019-06-13T15:46:15+08:00";null;null;null;null
"2019-06-13T15:46:30+08:00";500006000;499877000;547943000;568450000
"2019-06-13T15:46:45+08:00";522564000;515899000;638049000;537561000
"2019-06-13T15:47:00+08:00";510260000;542431000;632025000;616644000
"2019-06-13T15:47:15+08:00";639459000;504748000;569989000;1846472000
"2019-06-13T15:47:30+08:00";554095000;599981000;609210000;612670000
"2019-06-13T15:47:45+08:00";1158691000;1141644000;1162792000;1200091000
"2019-06-13T15:48:00+08:00";1579357000;1341851000;1698815000;1993359000
"2019-06-13T15:48:15+08:00";582421000;616387000;574346000;517822000
"2019-06-13T15:48:30+08:00";972711000;525128000;690216000;768273000
"2019-06-13T15:48:45+08:00";525384000;541790000;547045000;519488000
"2019-06-13T15:49:00+08:00";2100000000;2099871000;2100000000;2099871000
"2019-06-13T15:49:15+08:00";2100000000;2100000000;2099871000;2100000000
"2019-06-13T15:49:30+08:00";2100000000;2100000000;2099871000;2100000000
"2019-06-13T15:49:45+08:00";2099871000;2100000000;2099871000;2099871000
"2019-06-13T15:50:00+08:00";2100000000;2099871000;2100000000;2099871000
"2019-06-13T15:50:15+08:00";2100000000;2100000000;2100000000;2099871000
"2019-06-13T15:50:30+08:00";2099871000;2099871000;2099871000;2099871000
"2019-06-13T15:50:45+08:00";2099871000;2099871000;2100000000;2099871000
"2019-06-13T15:51:00+08:00";2100000000;2099871000;2100000000;2099871000
"2019-06-13T15:51:15+08:00";2100000000;2099871000;2099871000;2099871000
"2019-06-13T15:51:30+08:00";514105000;599981000;630615000;600109000
"2019-06-13T15:51:45+08:00";507568000;1240850000;577679000;594213000
"2019-06-13T15:52:00+08:00";591778000;604595000;537561000;618823000
"2019-06-13T15:52:15+08:00";528717000;584344000;562939000;1253283000
"2019-06-13T15:52:30+08:00";586138000;502313000;533587000;589471000
"2019-06-13T15:52:45+08:00";714312000;536279000;667016000;747637000
"2019-06-13T15:53:00+08:00";534100000;553967000;676245000;617028000
"2019-06-13T15:53:15+08:00";947332000;498852000;659710000;591522000
"2019-06-13T15:53:30+08:00";751354000;645867000;639587000;667401000
"2019-06-13T15:53:45+08:00";585369000;581140000;590496000;566784000
"2019-06-13T15:54:00+08:00";692779000;611901000;622283000;671759000
"2019-06-13T15:54:15+08:00";674835000;686114000;564733000;502185000
